393,393,3725,3725,991,3128,991,2079,2079,3128,929,929,2836,2202,2202,448,448,900,900,3506,3862,3862,4417,4417,1537,1694,5478,4355,4355,5478,5124,3834,2983,4395,1537,3834,2145,1755,1694,2145,5124,1049,4763
393,393,3725,3725,991,3128,991,2079,2079,3128,929,929,2836,2202,2202,448,448,900,900,3506,3862,3862,4417,4417,1537,1694,5478,4355,4355,5478,5124,3834,2983,4395,1537,3834,2145,1755,1694,2145,5124,1049,4763
3738,3738,1,1,2232,1048,2232,2039,2039,1048,2840,2840,821,4295,4295,3809,3809,4075,4075,1426,1402,1402,1593,1593,3630,2105,3490,1531,1531,3490,2500,995,971,2172,3630,995,1723,3848,2105,1723,2500,4241,1939
3738,3738,1,1,2232,1048,2232,2039,2039,1048,2840,2840,821,4295,4295,3809,3809,4075,4075,1426,1402,1402,1593,1593,3630,2105,3490,1531,1531,3490,2500,995,971,2172,3630,995,1723,3848,2105,1723,2500,4241,1939
1202,1202,2689,2689,1,2076,1,1629,1629,2076,686,686,2004,3113,3113,1416,1416,1591,1591,2454,3199,3199,3441,3441,2500,2187,5197,3692,3692,5197,4348,3171,2320,3343,2500,3171,1313,2718,2187,1313,4348,2029,4100
3533,3533,1416,1416,2426,1,2426,2873,2873,1,2635,2635,1655,5129,5129,3695,3695,3768,3768,871,2236,2236,2427,2427,4464,2939,4324,1941,1941,4324,3334,1829,1805,1523,4464,1829,2557,4682,2939,2557,3334,4206,2489
1202,1202,2689,2689,1,2076,1,1629,1629,2076,686,686,2004,3113,3113,1416,1416,1591,1591,2454,3199,3199,3441,3441,2500,2187,5197,3692,3692,5197,4348,3171,2320,3343,2500,3171,1313,2718,2187,1313,4348,2029,4100
2190,2190,2295,2295,1954,2761,1954,34,34,2761,1832,1832,1406,2438,2438,1952,1952,2760,2760,3139,2502,2502,3057,3057,1773,635,4198,2995,2995,4198,3764,2474,1623,3885,1773,2474,715,1991,635,715,3764,2384,3403
2190,2190,2295,2295,1954,2761,1954,34,34,2761,1832,1832,1406,2438,2438,1952,1952,2760,2760,3139,2502,2502,3057,3057,1773,635,4198,2995,2995,4198,3764,2474,1623,3885,1773,2474,715,1991,635,715,3764,2384,3403
3533,3533,1416,1416,2426,1,2426,2873,2873,1,2635,2635,1655,5129,5129,3695,3695,3768,3768,871,2236,2236,2427,2427,4464,2939,4324,1941,1941,4324,3334,1829,1805,1523,4464,1829,2557,4682,2939,2557,3334,4206,2489
